-7658,-7795
-10392,-10447
-10948,-11021
-11275,-11362
-10890,-11084
-8602,-8676
-4527,-4657
-791,-721
2234,2172
5316,5334
10638,10615
16055,16021
19863,19664
21352,21439
24326,24192
24598,24616
25994,25652
32767,30318
21001,20931
18774,18744
15677,15633
12248,12316
8977,8962
6367,6274
6150,6118
6125,6157
6106,6176
6830,6901
7491,7455
7317,7297
7638,7628
6872,6877
6474,6592
5667,5779
2887,2952
-64,-95
-2286,-2119
-2549,-2523
-2556,-2564
-2801,-2707
-4119,-4222
-5262,-5426
-5076,-4942
-3769,-3881
-4391,-4565
-6630,-6622
-10172,-10174
-13727,-13783
-16403,-16463
-18791,-18909
-18577,-18722
-17848,-17964
-15713,-15969
-13659,-13845
-11324,-11427
-9834,-9975
-9443,-9570
-10663,-10660
-11749,-12038
-11876,-12106
-11767,-11941
-11324,-11577
-10624,-10742
-8636,-8821
-6236,-6383
-2604,-2810
2153,1953
7492,7393
11214,11110
13677,13505
15363,15153
17066,16930
17644,17410
18113,17973
17475,17314
14903,14818
12251,12377
9454,9395
8704,8552
7691,7697
6819,6831
7398,7426
7952,7853
8260,8147
9223,8954
9833,9759
11319,11239
12162,12160
13405,13313
15748,15728
15245,15343
14640,14583
15148,15274
14966,15075
14442,14396
12068,12101
9404,9490
9066,9111
9206,9165
9444,9551
8912,8892
10303,10233
11248,11268
11666,11619
13394,13259
16287,16362
18885,18875
20016,20045
21629,21809
23041,23141
22870,23089
20917,20994
17402,17464
14702,14707
11804,11866
9887,9893
9157,9213
10696,10760
12899,12798
13418,13418
14572,14658
16407,16360
19364,19417
20360,20352
19120,19193
18359,18456
18226,18033
17614,17563
16269,16261
14286,14323
12513,12506
10420,10337
8272,8061
6192,6221
4718,4649
4982,4902
4846,4732
3943,3907
2312,2353
744,798
58,-137
-2852,-3033
-6462,-6554
-9388,-9509
-11341,-11591
-13825,-13864
-15884,-15927
-18600,-18781
-21671,-21657
-22504,-22679
-22652,-22901
-22117,-22235
-21383,-21444
-18600,-18750
-14003,-14110
-11010,-10954
-9021,-9151
-5957,-6105
-3800,-3727
-1125,-1231
11,-79
3537,3385
6824,6780
10176,10091
13447,13528
16319,16315
16502,16480
13431,13426
11456,11582
8610,8629
4804,4713
2460,2428
1582,1413
2006,1980
1606,1474
1946,1861
2342,2416
3603,3547
4532,4581
4776,4859
4265,4285
3736,3802
3244,3292
2493,2465
1134,1297
-301,-219
-1899,-1887
-4959,-4980
-5905,-5878
-5730,-5675
-4300,-4495
-3062,-3093
-1798,-1845
702,717
2544,2511
5527,5493
7728,7729
